slug,type,author,title,series,number
i-sing-the-body-electric-and-other-stories-bradbury,book,Ray Bradbury,I Sing the Body Electric! and Other Stories,,
the-martian-chronicles-bradbury-michael-whelan,book,Ray Bradbury,The Martian Chronicles,,
timeless-stories-for-today-and-tomorrow-bradbury-john-cheever,book,Ray Bradbury,Timeless Stories for Today and Tomorrow,,
connect-building-exceptional-relationships-with-family-friends-and-colleagues-bradford-carole-robin,book,David L. Bradford,"Connect: Building Exceptional Relationships with Family, Friends, and Colleagues",,
the-great-betrayal-the-great-siege-of-constantinople-bradford,book,Ernle Bradford,The Great Betrayal: The Great Siege of Constantinople,,
the-great-ship-how-battleships-changed-the-history-of-war-bradford,book,Ernle Bradford,The Great Ship: How Battleships Changed the History of War,,
flags-of-our-fathers-movie-tie-in-edition-bradley-ron-powers,book,James D. Bradley,Flags of Our Fathers (Movie Tie-in Edition),,
the-coldest-war-a-memoir-of-korea-brady,book,James Brady,The Coldest War: A Memoir of Korea,,
how-buildings-learn-what-happens-after-theyre-built-brand,book,Stewart Brand,How Buildings Learn: What Happens After They're Built,,
traitor-to-his-class-the-privileged-life-and-radical-presidency-of-franklin-delano-roosevelt-brands,audiobook,H.W. Brands,Traitor to His Class: The Privileged Life and Radical Presidency of Franklin Delano Roosevelt,,
wetware-a-computer-in-every-living-cell-bray,book,Dennis Bray,Wetware: A Computer in Every Living Cell,,
fire-ant-brazee,book,Jonathan P. Brazee,Fire Ant,,
mastering-the-art-of-soviet-cooking-a-memoir-of-food-and-longing-bremzen,book,Anya von Bremzen,Mastering the Art of Soviet Cooking: A Memoir of Food and Longing,,
hunter-killer-squadron-aero-weapons-aero-scouts-aero-rifles-vietnam-1965-1972-brennan,book,Matthew Brennan,"Hunter-Killer Squadron: Aero-Weapons, Aero-Scouts, Aero-Rifles (Vietnam 1965-1972)",,
the-hunger-habit-why-we-eat-when-were-not-hungry-and-how-to-stop-brewer,book,Judson Brewer,The Hunger Habit: Why We Eat When We're Not Hungry and How to Stop,,
personnel-of-fairyland-a-short-account-of-the-fairy-people-of-great-britain-for-those-who-tell-stories-to-children-briggs,book,Katharine M. Briggs,Personnel of Fairyland: A Short Account of the Fairy People of Great Britain for Those Who Tell Stories to Children,,
the-truth-stage-adaptation-briggs-terry-pratchett,book,Stephen Briggs,The Truth: Stage Adaptation,,
reckless-henry-kissinger-and-the-tragedy-of-vietnam-brigham,book,Robert K. Brigham,Reckless: Henry Kissinger and The Tragedy of Vietnam,,
this-is-a-true-war-story-brigham,book,Robert K. Brigham,This Is a True War Story: My Improbable History with Vietnam,,
startide-rising-uplift-trilogy-book-2-brin,book,David Brin,Startide Rising (Uplift Trilogy Book 2),Uplift Saga,2
the-uplift-war-brin,book,David Brin,The Uplift War,Uplift Saga,3
star-warriors-broad,book,William J. Broad,Star Warriors,,
tellers-war-the-top-secret-story-behind-the-star-wars-deception-broad,book,William J. Broad,Teller's War: The Top-Secret Story Behind the Star Wars Deception,,
nurtureshock-new-thinking-about-children-bronson-ashley-merryman,audiobook,Po Bronson,NurtureShock: New Thinking About Children,,
fathering-your-toddler-a-dads-guide-to-the-second-and-third-years-new-father-series-brott,book,Armin A. Brott,Fathering Your Toddler: A Dad's Guide To The Second And Third Years (New Father Series),,
going-downtown-the-war-against-hanoi-and-washington-broughton,book,Jack Broughton,Going Downtown: The War Against Hanoi and Washington,,
bodyguard-of-lies-brown,book,Anthony Cave Brown,Bodyguard of Lies,,
daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead-brown,book,Brené Brown,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",,
the-gifts-of-imperfection-brown,book,Brené Brown,The Gifts of Imperfection,,
science-in-democracy-expertise-institutions-and-representation-mit-press-brown,book,Mark B. Brown,"Science in Democracy: Expertise, Institutions, and Representation (Mit Press)",,
golden-son-brown,book,Pierce Brown,Golden Son,Red Rising,2
morning-star-brown,book,Pierce Brown,Morning Star,Red Rising,3
red-rising-brown,book,Pierce Brown,Red Rising,Red Rising,1
undoing-the-demos-neoliberalisms-stealth-revolution-near-futures-4-brown,book,Wendy Brown,"Undoing the Demos: Neoliberalism’s Stealth Revolution (Near Futures, 4)",,
ordinary-men-reserve-police-battalion-101-and-the-final-solution-in-poland-browning,book,Christopher R. Browning,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,,
sematech-saving-the-us-semiconductor-industry-volume-10-kenneth-e-montague-series-in-oil-and-business-history-browning-judy-c-shetler,book,Larry D. Browning,Sematech: Saving the U.S. Semiconductor Industry (Volume 10) (Kenneth E. Montague Series in Oil and Business History),,
renaissance-florence-brucker,book,Gene A. Brucker,Renaissance Florence,,
stand-on-zanzibar-brunner,book,John Brunner,Stand on Zanzibar,,
spam-a-shadow-history-of-the-internet-infrastructures-brunton,book,Finn Brunton,Spam: A Shadow History of the Internet (Infrastructures),,
race-against-the-machine-brynjolfsson-andrew-mcafee,book,Erik Brynjolfsson,Race Against The Machine,,
notes-from-a-small-island-bryson,book,Bill Bryson,Notes from a Small Island,,
i-and-thou-buber-walter-kaufmann,book,Martin Buber,I and Thou,,
better-than-human-the-promise-and-perils-of-enhancing-ourselves-buchanan,book,Allen Buchanan,Better than Human: The Promise and Perils of Enhancing Ourselves,,
beyond-humanityethics-of-biomedical-enhancement-the-ethics-of-biomedical-enhancement-uehiro-series-in-practical-ethics-buchanan,book,Allen Buchanan,BEYOND HUMANITY?:ETHICS OF BIOMEDICAL ENHANCEMENT: The Ethics Of Biomedical Enhancement (Uehiro Series In Practical Ethics),,
brigador-buckmaster-benjamin-glover,book,Bradley Buckmaster,Brigador,,
perilous-fight-americas-intrepid-war-with-britain-on-the-high-seas-1812-1815-budiansky,book,Stephen Budiansky,"Perilous Fight: America's Intrepid War with Britain on the High Seas, 1812-1815",,
between-two-fires-buehlman,book,Christopher Buehlman,Between Two Fires,,
the-blacktongue-thief-buehlman,book,Christopher Buehlman,The Blacktongue Thief,Blacktongue,1
the-daughters-war-buehlman,audiobook,Christopher Buehlman,The Daughters' War,Blacktongue,0
among-the-thugs-vintage-departures-buford,book,Bill Buford,Among the Thugs (Vintage Departures),,
the-icarus-syndrome-the-role-of-air-power-theory-in-the-evolution-and-fate-of-the-us-air-force-builder,book,Carl H. Builder,The Icarus Syndrome: The Role of Air Power Theory in the Evolution and Fate of the U.S. Air Force,,
a-civil-campaign-bujold,book,Lois McMaster Bujold,A Civil Campaign,Vorkosigan Saga,16
barrayar-bujold,book,Lois McMaster Bujold,Barrayar,Vorkosigan Saga,11
brothers-in-arms-bujold,book,Lois McMaster Bujold,Brothers in Arms,Vorkosigan Saga,5
